Views,Likes,Comments,Reposts,Poll,Hashtag,Date,Day,Time,Time_cat,Followers
431,12,0,0,,#олимпикс_статья,2020-09-13 20:41:30,2020-09-13,20:41:30,c 18 до 22 часов,1326
516,6,0,0,62.0,#олимпикс_опрос,2020-09-11 17:02:01,2020-09-11,17:02:01,c 14 до 18 часов,1326
491,13,0,5,,#олимпикс_подборка,2020-09-10 19:48:22,2020-09-10,19:48:22,c 18 до 22 часов,1326
429,10,0,0,,#олимпикс_термин,2020-09-09 22:00:40,2020-09-09,22:00:40,после 22 часов,1326
645,7,1,1,,,2020-09-08 22:27:08,2020-09-08,22:27:08,после 22 часов,1326
447,7,0,0,53.0,#олимпикс_опрос,2020-09-08 19:14:09,2020-09-08,19:14:09,c 18 до 22 часов,1326
469,13,0,3,,#олимпикс_подборка,2020-09-07 15:58:34,2020-09-07,15:58:34,c 14 до 18 часов,1326
395,9,0,0,,#олимпикс_термин,2020-09-07 13:02:18,2020-09-07,13:02:18,c 10 до 14 часов,1326
543,8,0,1,,,2020-09-06 18:24:53,2020-09-06,18:24:53,c 18 до 22 часов,1326
449,5,0,0,37.0,#олимпикс_опрос,2020-09-06 16:01:10,2020-09-06,16:01:10,c 14 до 18 часов,1326
13633,24,0,2,,,2020-09-05 21:20:34,2020-09-05,21:20:34,c 18 до 22 часов,1326
406,10,0,0,,#олимпикс_статья,2020-09-05 19:39:36,2020-09-05,19:39:36,c 18 до 22 часов,1326
507,4,0,0,58.0,#олимпикс_опрос,2020-09-04 20:50:57,2020-09-04,20:50:57,c 18 до 22 часов,1326
492,12,0,3,,#олимпикс_подборка,2020-09-04 17:15:39,2020-09-04,17:15:39,c 14 до 18 часов,1326
403,9,0,0,,#олимпикс_термин,2020-09-03 16:43:27,2020-09-03,16:43:27,c 14 до 18 часов,1326
2690,150,0,3,,,2020-09-02 21:18:45,2020-09-02,21:18:45,c 18 до 22 часов,1326
467,10,1,0,25.0,#олимпикс_опрос,2020-09-01 19:56:50,2020-09-01,19:56:50,c 18 до 22 часов,1326
430,9,0,0,,#олимпикс_термин,2020-09-01 17:58:06,2020-09-01,17:58:06,c 14 до 18 часов,1326
1872,24,1,0,,,2020-08-31 22:15:56,2020-08-31,22:15:56,после 22 часов,1326
876,30,0,4,,#олимпикс_подборка,2020-08-31 21:27:31,2020-08-31,21:27:31,c 18 до 22 часов,1326
406,7,0,2,,#олимпикс_статья,2020-08-31 13:59:12,2020-08-31,13:59:12,c 10 до 14 часов,1326
582,8,0,0,83.0,#олимпикс_опрос,2020-08-30 21:40:44,2020-08-30,21:40:44,c 18 до 22 часов,1326
2312,15,0,2,,,2020-08-29 20:58:46,2020-08-29,20:58:46,c 18 до 22 часов,1326
429,11,0,0,,#олимпикс_термин,2020-08-29 20:53:01,2020-08-29,20:53:01,c 18 до 22 часов,1326
542,14,0,6,,#олимпикс_подборка,2020-08-29 00:52:22,2020-08-29,00:52:22,до 10 утра,1326
692,14,0,6,,#олимпикс_подборка,2020-08-26 18:11:04,2020-08-26,18:11:04,c 18 до 22 часов,1326
591,9,2,2,,#олимпикс_статья,2020-08-23 00:11:41,2020-08-23,00:11:41,до 10 утра,1326
16192,24,0,1,,,2020-08-22 13:22:55,2020-08-22,13:22:55,c 10 до 14 часов,1326
493,13,0,2,,#олимпикс_статья,2020-08-19 15:28:38,2020-08-19,15:28:38,c 14 до 18 часов,1326
462,11,0,0,,#олимпикс_термин,2020-08-18 01:40:21,2020-08-18,01:40:21,до 10 утра,1326
510,12,0,3,,#олимпикс_подборка,2020-08-16 21:58:33,2020-08-16,21:58:33,c 18 до 22 часов,1326
457,9,5,1,,#олимпикс_статья,2020-08-15 21:09:46,2020-08-15,21:09:46,c 18 до 22 часов,1326
